complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,reporting_delay_hours,bank_response_delay_hours,fraud_unauthorized_flag,report_date
CBK0002230,TXN00009287,USR50434,MCH1683,,,,fraud,Merchant service was not delivered after payment.,IN_PROGRESS,,Medium,chatbot,,,1,
CBK0000526,TXN00006600,USR65622,MCH3129,,,,item not received,Customer complaint text unclear due to poor call center notes.,OPEN,,P3,App,,,0,
CBK0001449,TXN00008116,USR21449,MCH7397,,,,login compromised,Customer says amount was debited twice.,Resolved,,P3,Email,,,0,
CBK0002686,TXN00017656,USR69648,MCH9430,,,-447.83,unauth txn,Customer complaint text unclear due to poor call center notes.,RESOLVED,,P3,chatbot,,,0,
CBK0000533,TXN00001047,USR30500,MCH9291,,,,item not received,suspicious high-value payment disputed by customer.,RESOLVED,,P4,chatbot,,,0,
CBK0001709,TXN00014343,USR26622,MCH8668,,,,Service Not Provided,User says UPI PIN was not entered by them.,OPEN,,P3,Branch,,,0,
CBK0001509,TXN00011866,USR37594,MCH9858,,,628.55,service failed,Customer says transaction was not authorized.,RESOLVED,,L,CHATBOT,,,0,
CBK0000303,TXN00015469,USR54853,MCH2556,,2026-02-26,,DUP_DEBIT,Customer complaint text unclear due to poor call center notes.,In Progress,,P3,chatbot,,,0,2026-02-26
CBK0001911,TXN00009220,USR30497,MCH8391,,2026-02-27,,no service,User says UPI PIN was not entered by them.,OPEN,,M,App,,,0,2026-02-27
CBK0000626,TXN00018979,USR61349,MCH5687,,,,scam,Customer says transaction was not authorized.,IN_PROGRESS,,MEDIUM,chatbot,,,0,
CBK0000415,TXN00009182,USR26627,MCH9291,,,-4153.73,incorrect amount,user claims account was compromised before transaction.,REJECTED,2026-04-16 12:42:25,Medium,ivr,,,0,
CBK0002793,TXN00005174,USR39885,MCH8673,,,,unauth txn,user reports money deducted but merchant denies receiving payment.,RESOLVED,,High,chatbot,,,0,
CBK0001629,TXN00012665,USR52097,MCH2757,2026-03-16,2026-03-19,,delivery issue,Complaint received after multiple failed attempts.,WIP,,P1,Email,72.0,,0,2026-03-19
CBK0001065,TXN00018250,USR21407,MCH5172,,,4835.58,not done by me,Customer complaint text unclear due to poor call center notes.,CLOSED,,L,ivr,,,0,
CBK0002087,TXN00011160,USR29051,MCH4590,,2026-03-18,1773.89,no service,Customer says amount was debited twice.,Rejected,,P4,Branch,,,0,2026-03-18
CBK0001063,TXN00000271,USR23350,MCH6258,,2026-03-18,,Account Takeover,Customer says amount was debited twice.,PENDING_BANK,,Medium,IVR,,,0,2026-03-18
CBK0002348,TXN00012938,USR62273,MCH3100,2026-03-09,,3749.0,account hacked,User claims account was compromised before transaction.,Open,,Low,App,,,0,
CBK0002447,TXN00012629,USR35956,MCH8605,2026-02-13,,3056.74,item not received,Customer says transaction was not authorized. NA,OPEN,,M,Call Center,,,0,
CBK0001531,TXN00018893,USR98962,MCH8250,,,3450.22,Duplicate Debit,User claims account was compromised before transaction. pls check asap,PENDING_BANK,,M,Email,,,0,
